N,chi_t,C,S_ent,sz_A,sz_B,F_pred,S_chsh
8,3.174687,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
8,3.234210,0.00000000,1.99999999,0.00000000,0.00000000,0.66666667,2.00000000
8,3.293732,0.00000000,1.99999972,0.00000000,0.00000000,0.66666667,2.00000000
8,3.353254,0.00000000,1.99999800,0.00000000,0.00000000,0.66666667,2.00000000
8,3.412777,0.00000000,1.99999120,-0.00000000,0.00000000,0.66666667,2.00000000
8,3.472299,0.00000000,1.99997131,0.00000000,0.00000000,0.66666667,2.00000000
8,3.531822,0.00000000,1.99992338,0.00000000,0.00000000,0.66666667,2.00000000
8,3.591344,0.00000000,1.99982265,0.00000000,0.00000000,0.66666667,2.00000000
8,3.650866,0.00000000,1.99963145,0.00000000,0.00000000,0.66666667,2.00000000
8,3.710389,0.00000000,1.99929604,0.00000000,0.00000000,0.66666667,2.00000000
8,3.769911,0.00000000,1.99874359,0.00000000,0.00000000,0.66666667,2.00000000
10,0.020000,0.00979787,0.00294585,0.00000000,0.00000000,0.66993262,2.00009600
10,0.079522,0.03647244,0.03394083,0.00000000,0.00000000,0.67882415,2.00132980
10,0.139045,0.05921607,0.08797746,0.00000000,0.00000000,0.68640536,2.00350347
10,0.198567,0.07782036,0.15861726,0.00000000,0.00000000,0.69260679,2.00604687
10,0.258090,0.09215307,0.24171358,0.00000000,0.00000000,0.69738436,2.00847423
10,0.317612,0.10215775,0.33409596,0.00000000,0.00000000,0.70071925,2.01040912
10,0.377134,0.10785151,0.43315946,0.00000000,0.00000000,0.70261717,2.01159832
10,0.436657,0.10932095,0.53668514,0.00000000,0.00000000,0.70310698,2.01191558
10,0.496179,0.10671651,0.64274836,0.00000000,0.00000000,0.70223884,2.01135617
10,0.555702,0.10024551,0.74966751,0.00000000,0.00000000,0.70008184,2.01002404
10,0.615224,0.09016426,0.85597341,-0.00000000,0.00000000,0.69672142,2.00811314
10,0.674746,0.07676938,0.96038991,0.00000000,0.00000000,0.69225646,2.00588488
10,0.734269,0.06038884,1.06182068,0.00000000,0.00000000,0.68679628,2.00364349
10,0.793791,0.04137293,1.15933948,0.00000000,0.00000000,0.68045764,2.00171099
10,0.853314,0.02008550,1.25218197,-0.00000000,0.00000000,0.67336183,2.00040339
10,0.912836,0.00000000,1.33973821,0.00000000,0.00000000,0.66666667,2.00000000
10,0.972358,0.00000000,1.42154503,0.00000000,0.00000000,0.66666667,2.00000000
10,1.031881,0.00000000,1.49727788,0.00000000,0.00000000,0.66666667,2.00000000
10,1.091403,0.00000000,1.56674196,-0.00000000,0.00000000,0.66666667,2.00000000
10,1.150926,0.00000000,1.62986242,0.00000000,0.00000000,0.66666667,2.00000000
